Customer Name,Address Line 1,Address Line 2,Town,County,Country,Postcode
Chucho Brinsden,789 Oak Ave,South Heights,Sukamaju,Los Angeles County,Indonesia,
Lauree Shurmer,456 Elm St,Westside,Sifala,Los Angeles County,Indonesia,
Nickie Rampling,789 Oak Ave,Downtown,Cholpon-Ata,Tokyo Prefecture,Kyrgyzstan,
Tani Kibel,456 Elm St,Westside,Orzech,Tokyo Prefecture,Poland,41-922
Bernarr Strut,101 Pine Rd,Downtown,Sendang,Los Angeles County,Indonesia,
Lisette Espin,456 Elm St,East End,Kenzhe,Sydney County,Russia,361424
Winnah McCulley,789 Oak Ave,Downtown,Nueva Gerona,Paris Department,Cuba,
Legra Korlat,789 Oak Ave,Downtown,Augsburg,Paris Department,Germany,86156
Marybelle Shuttell,456 Elm St,North District,Schiedam postbusnummers,Sydney County,Netherlands,3104
Rosanna Grayne,123 Main St,South Heights,Skuodas,Paris Department,Lithuania,98001
Gerick Tregoning,456 Elm St,Westside,Tenggong,London Borough,Indonesia,
Binnie Headon,101 Pine Rd,East End,Waiholo,Paris Department,Indonesia,
Huntley Godding,101 Pine Rd,South Heights,Espanola,Sydney County,Canada,P5E
Kristel Nelle,101 Pine Rd,North District,Bislig,Los Angeles County,Philippines,8311
Corrine Kline,101 Pine Rd,East End,Viedma,Sydney County,Argentina,8500
